Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Chefe Donsa,Black Soil,31,13,811.2,68,980
2019,Chefe Donsa,Black Soil,30.5,16,811.2,72,670
2019,Chefe Donsa,Black Soil,29.5,14,811.2,68,730
2019,Chefe Donsa,Black Soil,30,13,811.2,54,710
2019,Chefe Donsa,Black Soil,31,12,811.2,70,780
2019,Chefe Donsa,Black Soil,31,13.5,811.2,69,670
2019,Chefe Donsa,Black Soil,30,13,811.2,72,760
2019,Chefe Donsa,Black Soil,31,12,811.2,60,430
2019,Chefe Donsa,Black Soil,31,12.5,811.2,80,390
2019,Chefe Donsa,Black Soil,31,11.5,811.2,74,390
2019,Chefe Donsa,Black Soil,29,11,811.2,64,280
2019,Chefe Donsa,Black Soil,29,14,811.2,66,190
2019,Chefe Donsa,Black Soil,28.5,14,811.2,79,310
2019,Chefe Donsa,Black Soil,30.5,14,811.2,82,800
2019,Chefe Donsa,Black Soil,32.5,12.5,811.2,79,720
2019,Chefe Donsa,Black Soil,32,12.5,811.2,68,640
2019,Chefe Donsa,Black Soil,31,11,811.2,68,810
2019,Chefe Donsa,Black Soil,29.5,11.5,811.2,56,660
2019,Chefe Donsa,Black Soil,27.5,12.5,811.2,67,610
2019,Chefe Donsa,Black Soil,29,10.5,811.2,71,670
2019,Chefe Donsa,Black Soil,27,11.5,811.2,58,750
2019,Chefe Donsa,Black Soil,29.5,13,811.2,68,930
2019,Chefe Donsa,Black Soil,28.5,11.5,811.2,78,890
2019,Chefe Donsa,Black Soil,28.5,12.5,811.2,74,630
2019,Chefe Donsa,Black Soil,27,12.5,811.2,66,560
2019,Chefe Donsa,Black Soil,31,15,811.2,69,280
2019,Chefe Donsa,Black Soil,30.5,11.5,811.2,77,390
2019,Chefe Donsa,Black Soil,29.5,13,811.2,80,550
2019,Chefe Donsa,Black Soil,30,14.5,811.2,84,910
2019,Chefe Donsa,Black Soil,31,14,811.2,68,700
2019,Chefe Donsa,Black Soil,31,14,811.2,58,870
2019,Chefe Donsa,Black Soil,30,13,811.2,52,960
2019,Chefe Donsa,Black Soil,31,15,811.2,24,850
2019,Chefe Donsa,Black Soil,31,15.5,811.2,60,730
2019,Chefe Donsa,Black Soil,31,16.6,811.2,70,610
2019,Chefe Donsa,Black Soil,29,13.5,811.2,69,950
2019,Chefe Donsa,Black Soil,29,16,811.2,44,1200
2019,Chefe Donsa,Black Soil,28.5,12.5,811.2,41,760
2019,Chefe Donsa,Black Soil,30.5,13,811.2,42,850
2019,Chefe Donsa,Black Soil,32.5,13,811.2,50,1030
2019,Chefe Donsa,Black Soil,32,12.5,811.2,48,740
2019,Chefe Donsa,Black Soil,31,16.5,811.2,52,880
2019,Chefe Donsa,Black Soil,29.5,14.5,811.2,41,660
2019,Chefe Donsa,Black Soil,27.5,14.5,811.2,46,600
2019,Chefe Donsa,Black Soil,29,12.5,811.2,38,450
2019,Chefe Donsa,Black Soil,27,13.5,811.2,38,640
2019,Chefe Donsa,Black Soil,29.5,13,811.2,35,450
2019,Chefe Donsa,Black Soil,28.5,13,811.2,33,450
2019,Chefe Donsa,Black Soil,28.5,12,811.2,25,440
2019,Chefe Donsa,Black Soil,27,11,811.2,25,460
2019,Chefe Donsa,Black Soil,27,13.5,811.2,33,640
2019,Chefe Donsa,Black Soil,26.5,14,811.2,68,680
2019,Chefe Donsa,Black Soil,24,14,811.2,33,680
2019,Chefe Donsa,Black Soil,26.5,13.5,811.2,25,670
2019,Chefe Donsa,Black Soil,24,11,811.2,18,450
2019,Chefe Donsa,Black Soil,26.5,10.5,811.2,40,440
2019,Chefe Donsa,Black Soil,25,13.5,811.2,34,410
2019,Chefe Donsa,Black Soil,28.5,13,811.2,40,380
2019,Chefe Donsa,Black Soil,28.5,12,811.2,40,280
2019,Chefe Donsa,Black Soil,27,15,811.2,31,310
2019,Chefe Donsa,Black Soil,26.5,13.5,811.2,31,240
2019,Chefe Donsa,Black Soil,27.5,15,811.2,48,280
2019,Chefe Donsa,Black Soil,25.5,15,811.2,50,560
2019,Chefe Donsa,Black Soil,26,14.5,811.2,41,480
2019,Chefe Donsa,Black Soil,26,16,811.2,43,350
2019,Chefe Donsa,Black Soil,27,15,811.2,45,330
2019,Chefe Donsa,Black Soil,27.5,14.5,811.2,60,220
2019,Chefe Donsa,Black Soil,27,14,811.2,60,270
2019,Chefe Donsa,Black Soil,23.5,14.5,811.2,65,170
2019,Chefe Donsa,Black Soil,27,13.5,811.2,43,90
2019,Chefe Donsa,Black Soil,27.5,13,811.2,45,310
2019,Chefe Donsa,Black Soil,26.5,14,811.2,60,520
2019,Chefe Donsa,Black Soil,25.5,14.5,811.2,40,340
2019,Chefe Donsa,Black Soil,22.5,14,811.2,70,380
2019,Chefe Donsa,Black Soil,26,14,811.2,25,280
2019,Chefe Donsa,Black Soil,25,14.5,811.2,25,260
2019,Chefe Donsa,Black Soil,24.5,12,811.2,31,460
2019,Chefe Donsa,Black Soil,23,13.5,811.2,38,470
2019,Chefe Donsa,Black Soil,20,13,811.2,35,480
2019,Chefe Donsa,Black Soil,25,13,811.2,40,380
2019,Chefe Donsa,Black Soil,25.5,15,811.2,26,805
2019,Chefe Donsa,Black Soil,22.5,13,811.2,70,310
2019,Chefe Donsa,Black Soil,27,13.5,811.2,18,320
2019,Chefe Donsa,Black Soil,23.5,12.5,811.2,21,290
2019,Chefe Donsa,Black Soil,27.5,14,811.2,31,290
2019,Chefe Donsa,Black Soil,26.5,13.5,811.2,40,300
2019,Chefe Donsa,Black Soil,27,14,811.2,45,250
2019,Chefe Donsa,Black Soil,26.5,14.5,811.2,45,310
2019,Chefe Donsa,Black Soil,27,15.5,811.2,45,410
2019,Chefe Donsa,Black Soil,24.5,15.5,811.2,39,470
2019,Chefe Donsa,Black Soil,21.5,15,811.2,37,550
2019,Chefe Donsa,Black Soil,26.5,11.5,811.2,38,590
2019,Chefe Donsa,Black Soil,26,13,811.2,48,410
2019,Chefe Donsa,Black Soil,26,12.5,811.2,41,270
2019,Chefe Donsa,Black Soil,26.5,14.5,811.2,37,490
2019,Chefe Donsa,Black Soil,22,12.5,811.2,49,310
2019,Chefe Donsa,Black Soil,27,15,811.2,36,310
2019,Chefe Donsa,Black Soil,24,13,811.2,40,260
