Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Chefe Donsa,Black Soil,31.0,13.0,811.2,68.0,980.0
2019,Chefe Donsa,Black Soil,30.5,16.0,811.2,72.0,670.0
2019,Chefe Donsa,Black Soil,29.5,14.0,811.2,68.0,730.0
2019,Chefe Donsa,Black Soil,30.0,13.0,811.2,54.0,710.0
2019,Chefe Donsa,Black Soil,31.0,12.0,811.2,70.0,780.0
2019,Chefe Donsa,Black Soil,31.0,13.5,811.2,69.0,670.0
2019,Chefe Donsa,Black Soil,30.0,13.0,811.2,72.0,760.0
2019,Chefe Donsa,Black Soil,31.0,12.0,811.2,60.0,430.0
2019,Chefe Donsa,Black Soil,31.0,12.5,811.2,80.0,390.0
2019,Chefe Donsa,Black Soil,31.0,11.5,811.2,74.0,390.0
2019,Chefe Donsa,Black Soil,29.0,11.0,811.2,64.0,280.0
2019,Chefe Donsa,Black Soil,29.0,14.0,811.2,66.0,190.0
2019,Chefe Donsa,Black Soil,28.5,14.0,811.2,79.0,310.0
2019,Chefe Donsa,Black Soil,30.5,14.0,811.2,82.0,800.0
2019,Chefe Donsa,Black Soil,32.5,12.5,811.2,79.0,720.0
2019,Chefe Donsa,Black Soil,32.0,12.5,811.2,68.0,640.0
2019,Chefe Donsa,Black Soil,31.0,11.0,811.2,68.0,810.0
2019,Chefe Donsa,Black Soil,29.5,11.5,811.2,56.0,660.0
2019,Chefe Donsa,Black Soil,27.5,12.5,811.2,67.0,610.0
2019,Chefe Donsa,Black Soil,29.0,10.5,811.2,71.0,670.0
2019,Chefe Donsa,Black Soil,27.0,11.5,811.2,58.0,750.0
2019,Chefe Donsa,Black Soil,29.5,13.0,811.2,68.0,930.0
2019,Chefe Donsa,Black Soil,28.5,11.5,811.2,78.0,890.0
2019,Chefe Donsa,Black Soil,28.5,12.5,811.2,74.0,630.0
2019,Chefe Donsa,Black Soil,27.0,12.5,811.2,66.0,560.0
2019,Chefe Donsa,Black Soil,31.0,15.0,811.2,69.0,280.0
2019,Chefe Donsa,Black Soil,30.5,11.5,811.2,77.0,390.0
2019,Chefe Donsa,Black Soil,29.5,13.0,811.2,80.0,550.0
2019,Chefe Donsa,Black Soil,30.0,14.5,811.2,84.0,910.0
2019,Chefe Donsa,Black Soil,31.0,14.0,811.2,68.0,700.0
